EventCode,status_code,signature,CategoryString,action,result,change_type,object_category
4771,0x5,Kerberos pre-auth failure: Server's key encrypted in old master key,Kerberos Authentication Service,failure,,Authentication,
4771,0x6,"Kerberos pre-auth failure: Client not found in Kerberos database. Bad user name, or new computer/user account has not replicated to DC yet",Kerberos Authentication Service,failure,,Authentication,
4771,0x7,Kerberos pre-auth failure: Server not found in Kerberos database. New computer account has not replicated yet or computer is pre-w2k,Kerberos Authentication Service,failure,,Authentication,
4771,0x8,Kerberos pre-auth failure: Multiple principal entries in database,Kerberos Authentication Service,failure,,Authentication,
4771,0x9,Kerberos pre-auth failure: The client or server has a null key. Administrator should reset the password on the account,Kerberos Authentication Service,failure,,Authentication,
4771,0xA,Kerberos pre-auth failure: Ticket not eligible for postdating,Kerberos Authentication Service,failure,,Authentication,
4771,0xB,Kerberos pre-auth failure: Requested start time is later than end time,Kerberos Authentication Service,failure,,Authentication,
4771,0xC,Kerberos pre-auth failure: KDC policy rejects request. Workstation restriction,Kerberos Authentication Service,failure,,Authentication,
4771,0xD,Kerberos pre-auth failure: KDC cannot accommodate requested option,Kerberos Authentication Service,failure,,Authentication,
4771,0xE,Kerberos pre-auth failure: KDC has no support for encryption type,Kerberos Authentication Service,failure,,Authentication,
4771,0xF,Kerberos pre-auth failure: KDC has no support for checksum type,Kerberos Authentication Service,failure,,Authentication,
4771,0x10,Kerberos pre-auth failure: KDC has no support for padata type,Kerberos Authentication Service,failure,,Authentication,
4771,0x11,Kerberos pre-auth failure: KDC has no support for transited type,Kerberos Authentication Service,failure,,Authentication,
4771,0x12,"Kerberos pre-auth failure: Clients credentials have been revoked. Account disabled, expired, locked out, logon hours.",Kerberos Authentication Service,failure,,Authentication,
4771,0x13,Kerberos pre-auth failure: Credentials for server have been revoked,Kerberos Authentication Service,failure,,Authentication,
4771,0x14,Kerberos pre-auth failure: TGT has been revoked,Kerberos Authentication Service,failure,,Authentication,
4771,0x15,Kerberos pre-auth failure: Client not yet valid - try again later,Kerberos Authentication Service,failure,,Authentication,
4771,0x16,Kerberos pre-auth failure: Server not yet valid - try again later,Kerberos Authentication Service,failure,,Authentication,
4771,0x17,Kerberos pre-auth failure: Password has expired. The user password has expired.,Kerberos Authentication Service,failure,,Authentication,
4771,0x18,Kerberos pre-auth failure: Pre-authentication information was invalid. Usually means bad password,Kerberos Authentication Service,failure,,Authentication,
4771,0x19,Kerberos pre-auth failure: Additional pre-authentication required,Kerberos Authentication Service,failure,,Authentication,
4771,0x1F,Kerberos pre-auth failure: Integrity check on decrypted field failed,Kerberos Authentication Service,failure,,Authentication,
4771,0x20,Kerberos pre-auth failure: Ticket expired. Frequently logged by computer accounts,Kerberos Authentication Service,failure,,Authentication,
4771,0x21,Kerberos pre-auth failure: Ticket not yet valid,Kerberos Authentication Service,failure,,Authentication,
4771,0x21,Kerberos pre-auth failure: Ticket not yet valid,Kerberos Authentication Service,failure,,Authentication,
4771,0x22,Kerberos pre-auth failure: Request is a replay,Kerberos Authentication Service,failure,,Authentication,
4771,0x23,Kerberos pre-auth failure: The ticket isn't for us,Kerberos Authentication Service,failure,,Authentication,
4771,0x24,Kerberos pre-auth failure: Ticket and authenticator don't match,Kerberos Authentication Service,failure,,Authentication,
4771,0x25,Kerberos pre-auth failure: Clock skew too great. Workstation’s clock too far out of sync with the DC’s,Kerberos Authentication Service,failure,,Authentication,
4771,0x26,Kerberos pre-auth failure: Incorrect net address. IP address change?,Kerberos Authentication Service,failure,,Authentication,
4771,0x27,Kerberos pre-auth failure: Protocol version mismatch,Kerberos Authentication Service,failure,,Authentication,
4771,0x28,Kerberos pre-auth failure: Invalid msg type,Kerberos Authentication Service,failure,,Authentication,
4771,0x29,Kerberos pre-auth failure: Message stream modified,Kerberos Authentication Service,failure,,Authentication,
4771,0x2A,Kerberos pre-auth failure: Message out of order,Kerberos Authentication Service,failure,,Authentication,
4771,0x2C,Kerberos pre-auth failure: Specified version of key is not available,Kerberos Authentication Service,failure,,Authentication,
4771,0x2D,Kerberos pre-auth failure: Service key not available,Kerberos Authentication Service,failure,,Authentication,
4771,0x2E,Kerberos pre-auth failure: Mutual authentication failed. May be a memory allocation failure,Kerberos Authentication Service,failure,,Authentication,
4771,0x2F,Kerberos pre-auth failure: Incorrect message direction,Kerberos Authentication Service,failure,,Authentication,
4771,0x30,Kerberos pre-auth failure: Alternative authentication method required,Kerberos Authentication Service,failure,,Authentication,
4771,0x31,Kerberos pre-auth failure: Incorrect sequence number in message,Kerberos Authentication Service,failure,,Authentication,
4771,0x32,Kerberos pre-auth failure: Inappropriate type of checksum in message,Kerberos Authentication Service,failure,,Authentication,
4771,0x3C,Kerberos pre-auth failure: Generic error (description in e-text),Kerberos Authentication Service,failure,,Authentication,
4771,0x3D,Kerberos pre-auth failure: Field is too long for this implementation,Kerberos Authentication Service,failure,,Authentication,
4772,-,A Kerberos authentication ticket request failed,Kerberos Authentication Service,failure,,Authentication,
4773,-,A Kerberos service ticket request failed,Kerberos Service Ticket Operations,failure,,Authentication,
4774,-,An account was mapped for logon,Other Account Logon Events,,,,
4775,-,An account could not be mapped for logon,Other Account Logon Events,,,,
4776,0xC0000064,Logon Failure: The specified account does not exist.,Credential Validation,failure,,Authentication,
4776,0xC000006A,Logon Failure: User name is correct but the password is wrong,Credential Validation,failure,,Authentication,
4776,0xC0000234,Logon Failure: The referenced account is currently locked out.,Credential Validation,failure,,Authentication,
4776,0xC0000072,Logon Failure: The referenced account is currently disabled and may not be logged on to.,Credential Validation,failure,,Authentication,
4776,0xC000006F,Logon Failure: User tried to logon outside his day of week or time of day restrictions,Credential Validation,failure,,Authentication,
4776,0xC0000070,Logon Failure: The machine you are logging onto is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine.,Credential Validation,failure,,Authentication,
4776,0xC0000193,Logon Failure: The user account has expired.,Credential Validation,failure,,Authentication,
4776,0xC0000071,Logon Failure: The user account password has expired.,Credential Validation,failure,,Authentication,
4776,0xC0000224,Logon Failure: The user password must be changed before logging on the first time.,Credential Validation,failure,,Authentication,
4776,0xC0000225,Logon Failure: evidently a bug in Windows and not a risk,Credential Validation,failure,,Authentication,
4776,0x0,An account was successfully logged on,Credential Validation,success,,Authentication,
4777,-,The domain controller failed to validate the credentials for an account,Other Account Logon Events,failure,,Authentication,
4778,-,A session was reconnected to a Window Station,,,,,
4779,-,A session was disconnected from a Window Station,,,,,
4780,-,The ACL was set on accounts which are members of administrators groups,User Account Management,acl_modified,,Accounting,group
4781,-,The name of an account was changed,User Account Management,modified,,Accounting,user
4782,-,The password hash an account was accessed,Other Account Logon Events,read,,,
4783,-,A basic application group was created,Application Group Management,created,,Authorization,group:app
4784,-,A basic application group was changed,Application Group Management,modified,,Authorization,group:app
4785,-,A member was added to a basic application group,Application Group Management,added,,Authorization,group:app
4786,-,A member was removed from a basic application group,Application Group Management,modified,,Authorization,group:app
4787,-,A non-member was added to a basic application group,Application Group Management,added,,Authorization,group:app
4788,-,A non-member was removed from a basic application group..,Application Group Management,modified,,Authorization,group:app
4789,-,A basic application group was deleted,Application Group Management,deleted,,Authorization,group:app
4790,-,An LDAP query group was created,Application Group Management,created,,Authorization,group:app
4791,-,A basic application group was changed,Application Group Management,modified,,Authorization,group:app
4792,-,An LDAP query group was deleted,Application Group Management,deleted,,Authorization,group:app
4793,-,The Password Policy Checking API was called,Other Account Management,read,,,
4794,-,An attempt was made to set the Directory Services Restore Mode administrator password,User Account Management,updated,,Authentication,user
4800,-,The workstation was locked,,,,,
4801,-,The workstation was unlocked,,,,,
4802,-,The screen saver was invoked,,,,,
4803,-,The screen saver was dismissed,,,,,
4816,-,RPC detected an integrity violation while decrypting an incoming message,RPC Event,,,,
4817,-,Auditing settings on object were changed.,,,,,
4864,-,A namespace collision was detected,,,,,
4865,-,A trusted forest information entry was added,Authentication Policy Change,created,,Authentication,policy
4866,-,A trusted forest information entry was removed,Authentication Policy Change,deleted,,Authentication,policy
4867,-,A trusted forest information entry was modified,Authentication Policy Change,updated,,Authentication,policy
4868,-,The certificate manager denied a pending certificate request,Certification Service,,,,
4869,-,Certificate Services received a resubmitted certificate request,Certification Service,,,,
4870,-,Certificate Services revoked a certificate,Certification Service,,,,
4871,-,Certificate Services received a request to publish the certificate revocation list (CRL),Certification Service,,,,
4872,-,Certificate Services published the certificate revocation list (CRL),Certification Service,,,,
4873,-,A certificate request extension changed,Certification Service,,,,
4874,-,One or more certificate request attributes changed.,Certification Service,,,,
4875,-,Certificate Services received a request to shut down,Certification Service,,,,
4876,-,Certificate Services backup started,Certification Service,,,,
4877,-,Certificate Services backup completed,Certification Service,,,,
4878,-,Certificate Services restore started,Certification Service,,,,
4879,-,Certificate Services restore completed,Certification Service,,,,
4880,-,Certificate Services started,Certification Service,,,,
4881,-,Certificate Services stopped,Certification Service,,,,
4882,-,The security permissions for Certificate Services changed,Certification Service,,,,
4883,-,Certificate Services retrieved an archived key,Certification Service,,,,
4884,-,Certificate Services imported a certificate into its database,Certification Service,,,,
4885,-,The audit filter for Certificate Services changed,Certification Service,,,,
4886,-,Certificate Services received a certificate request,Certification Service,,,,
4887,-,Certificate Services approved a certificate request and issued a certificate,Certification Service,,,,
4888,-,Certificate Services denied a certificate request,Certification Service,,,,
4889,-,Certificate Services set the status of a certificate request to pending,Certification Service,,,,
4890,-,The certificate manager settings for Certificate Services changed.,Certification Service,,,,
4891,-,A configuration entry changed in Certificate Services,Certification Service,,,,
4892,-,A property of Certificate Services changed,Certification Service,,,,
4893,-,Certificate Services archived a key,Certification Service,,,,
4894,-,Certificate Services imported and archived a key,Certification Service,,,,
4895,-,Certificate Services published the CA certificate to Active Directory Domain Services,Certification Service,,,,
4896,-,One or more rows have been deleted from the certificate database,Certification Service,,,,
4897,-,Role separation enabled,Certification Service,,,,
4898,-,Certificate Services loaded a template,Certification Service,,,,
4899,-,A Certificate Services template was updated,Certification Service,,,,
4900,-,Certificate Services template security was updated,Certification Service,,,,
4902,-,The Per-user audit policy table was created,Audit Policy Change,,,,
4904,-,An attempt was made to register a security event source,Audit Policy Change,,,,
4905,-,An attempt was made to unregister a security event source,Audit Policy Change,,,,
4906,-,The CrashOnAuditFail value has changed,Audit Policy Change,,,,
4907,-,Auditing settings on object were changed,Audit Policy Change,,,,
4908,-,Special Groups Logon table modified,,,,,
4909,-,The local policy settings for the TBS were changed,,,,,
4910,-,The group policy settings for the TBS were changed,,,,,
4912,-,Per User Audit Policy was changed,Audit Policy Change,,,,
4928,-,An Active Directory replica source naming context was established,Directory Service Replication,,,,
4929,-,An Active Directory replica source naming context was removed,Directory Service Replication,,,,
4930,-,An Active Directory replica source naming context was modified,Directory Service Replication,,,,
4931,-,An Active Directory replica destination naming context was modified,Directory Service Replication,,,,
4932,-,Synchronization of a replica of an Active Directory naming context has begun,Directory Service Replication,,,,
4933,-,Synchronization of a replica of an Active Directory naming context has ended,Directory Service Replication,,,,
4934,-,Attributes of an Active Directory object were replicated,Directory Service Replication,,,,
4935,-,Replication failure begins,Directory Service Replication,,,,
4936,-,Replication failure ends,Directory Service Replication,,,,
4937,-,A lingering object was removed from a replica,Directory Service Replication,,,,
4944,-,The following policy was active when the Windows Firewall started,Windows Firewall Policy Change,,,,
4945,-,A rule was listed when the Windows Firewall started,Windows Firewall Policy Change,,,,
4946,-,A change has been made to Windows Firewall exception list. A rule was added,Windows Firewall Policy Change,,,,
4947,-,A change has been made to Windows Firewall exception list. A rule was modified,Windows Firewall Policy Change,,,,
4948,-,A change has been made to Windows Firewall exception list. A rule was deleted,Windows Firewall Policy Change,,,,
4949,-,Windows Firewall settings were restored to the default values,Windows Firewall Policy Change,,,,
4950,-,A Windows Firewall setting has changed,Windows Firewall Policy Change,,,,
4951,-,A rule has been ignored because its major version number was not recognized by Windows Firewall,Windows Firewall Policy Change,,,,
4952,-,Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall,Windows Firewall Policy Change,,,,
4953,-,A rule has been ignored by Windows Firewall because it could not parse the rule,,,,,
4954,-,Windows Firewall Group Policy settings has changed. The new settings have been applied,Windows Firewall Policy Change,,,,
4956,-,Windows Firewall has changed the active profile,Windows Firewall Policy Change,,,,
4957,-,Windows Firewall did not apply the following rule,Windows Firewall Policy Change,,,,
4958,-,Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer,Windows Firewall Policy Change,,,,
4960,-,IPsec dropped an inbound packet that failed an integrity check,,,,,
4961,-,IPsec dropped an inbound packet that failed a replay check,,,,,
4962,-,IPsec dropped an inbound packet that failed a replay check,,,,,
4963,-,IPsec dropped an inbound clear text packet that should have been secured,,,,,
4964,-,Special groups have been assigned to a new logon,,,,,
4965,-,IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI).,,,,,
4976,-,During Main Mode negotiation," IPsec received an invalid negotiation packet.""""",,,,
4977,-,During Quick Mode negotiation," IPsec received an invalid negotiation packet.""""",,,,
4978,-,During Extended Mode negotiation," IPsec received an invalid negotiation packet.""""",,,,
4979,-,IPsec Main Mode and Extended Mode security associations were established.,,,,,
4980,-,IPsec Main Mode and Extended Mode security associations were established,,,,,
4981,-,IPsec Main Mode and Extended Mode security associations were established,,,,,
4982,-,IPsec Main Mode and Extended Mode security associations were established,,,,,
4983,-,An IPsec Extended Mode negotiation failed,,,,,
4984,-,An IPsec Extended Mode negotiation failed,,,,,
4985,-,The state of a transaction has changed,File System Event,,,,
5024,-,The Windows Firewall Service has started successfully,System Event,,,,
5025,-,The Windows Firewall Service has been stopped,System Event,stopped,,,
5027,-,The Windows Firewall Service was unable to retrieve the security policy from the local storage,System Event,,,,
5028,-,The Windows Firewall Service was unable to parse the new security policy.,System Event,,,,
5029,-,The Windows Firewall Service failed to initialize the driver,System Event,,,,
5030,-,The Windows Firewall Service failed to start,System Event,,,,
5031,-,The Windows Firewall Service blocked an application from accepting incoming connections on the network.,Windows Firewall,blocked,,,
5032,-,Windows Firewall was unable to notify the user that it blocked an application from accepting incoming connections on the network,System Event,,,,
5033,-,The Windows Firewall Driver has started successfully,System Event,started,,,
5034,-,The Windows Firewall Driver has been stopped,System Event,stopped,,,
5035,-,The Windows Firewall Driver failed to start,System Event,,,,
5037,-,The Windows Firewall Driver detected critical runtime error. Terminating,System Event,,,,
5038,-,Code integrity determined that the image hash of a file is not valid,Security Integrity,,,,
5039,-,A registry key was virtualized.,,,,,
5040,-,A change has been made to IPsec settings. An Authentication Set was added.,,,,,
5041,-,A change has been made to IPsec settings. An Authentication Set was modified,,,,,
5042,-,A change has been made to IPsec settings. An Authentication Set was deleted,,,,,
5043,-,A change has been made to IPsec settings. A Connection Security Rule was added,,,,,
5044,-,A change has been made to IPsec settings. A Connection Security Rule was modified,,,,,
5045,-,A change has been made to IPsec settings. A Connection Security Rule was deleted,,,,,
5046,-,A change has been made to IPsec settings. A Crypto Set was added,,added,,,
5047,-,A change has been made to IPsec settings. A Crypto Set was modified,,modified,,,
5048,-,A change has been made to IPsec settings. A Crypto Set was deleted,,deleted,,,
5049,-,An IPsec Security Association was deleted,,deleted,,,
5050,-,An attempt to programmatically disable the Windows Firewall using a call to INetFwProfile.FirewallEnabled(FALSE,,,,,
5051,-,A file was virtualized,,,,,
5056,-,A cryptographic self test was performed,Security Integrity,,,,
5057,-,A cryptographic primitive operation failed,,,,,
5058,-,Key file operation,System Event,,,,
5059,-,Key migration operation,System Event,,,,
5060,-,Verification operation failed,,,,,
5061,-,Cryptographic operation,Security Integrity,,,,
5062,-,A kernel-mode cryptographic self test was performed,,,,,
5063,-,A cryptographic provider operation was attempted,,,,,
5064,-,A cryptographic context operation was attempted,,,,,
5065,-,A cryptographic context modification was attempted,,,,,
5066,-,A cryptographic function operation was attempted,,,,,
5067,-,A cryptographic function modification was attempted,,,,,
5068,-,A cryptographic function provider operation was attempted,,,,,
5069,-,A cryptographic function property operation was attempted,,,,,
5070,-,A cryptographic function property operation was attempted,,,,,
5120,-,OCSP Responder Service Started,,,,,
5121,-,OCSP Responder Service Stopped,,,,,
5122,-,A Configuration entry changed in the OCSP Responder Service,,,,,
5123,-,A configuration entry changed in the OCSP Responder Service,,,,,
5124,-,A security setting was updated on OCSP Responder Service,,,,,
5125,-,A request was submitted to OCSP Responder Service,,,,,
5126,-,Signing Certificate was automatically updated by the OCSP Responder Service,,,,,
5127,-,The OCSP Revocation Provider successfully updated the revocation information,,,,,
5136,-,A directory service object was modified,Directory Service Changes,modified,,AD Object,
5137,-,A directory service object was created,Directory Service Changes,created,,AD Object,
5138,-,A directory service object was undeleted,Directory Service Changes,modified,,AD Object,
5139,-,A directory service object was moved,Directory Service Changes,updated,,AD Object,
5140,0x1,A network share object was accessed,File Share,read,,,
5141,-,A directory service object was deleted,Directory Service Changes,deleted,,AD Object,
5142,-,A network share object was added.,,added,,,
5143,-,A network share object was modified,,modified,,,
5144,-,A network share object was deleted.,,deleted,,,
5145,0x1,A network share object was checked to see whether client can be granted desired access.,Network Share Event,read,,filesystem,
5145,0x2,A network share object was checked to see whether client can be granted desired access.,Network Share Event,created,,filesystem,
5145,0x4,A network share object was checked to see whether client can be granted desired access.,Network Share Event,modified,,filesystem,
5145,0x8,A network share object was checked to see whether client can be granted desired access.,Network Share Event,read,,filesystem,
5145,0x10,A network share object was checked to see whether client can be granted desired access.,Network Share Event,created,,filesystem,
5145,0x20,A network share object was checked to see whether client can be granted desired access.,Network Share Event,execute,,filesystem,
5145,0x40,A network share object was checked to see whether client can be granted desired access.,Network Share Event,deleted,,filesystem,
5145,0x80,A network share object was checked to see whether client can be granted desired access.,Network Share Event,read,,filesystem,
5145,0x100,A network share object was checked to see whether client can be granted desired access.,Network Share Event,acl_modified,,filesystem,
5145,0x10000,A network share object was checked to see whether client can be granted desired access.,Network Share Event,deleted,,filesystem,
5145,0x20000,A network share object was checked to see whether client can be granted desired access.,Network Share Event,read,,filesystem,
5145,0x40000,A network share object was checked to see whether client can be granted desired access.,Network Share Event,acl_modified,,filesystem,
5145,0x80000,A network share object was checked to see whether client can be granted desired access.,Network Share Event,acl_modified,,filesystem,
5145,0x100000,A network share object was checked to see whether client can be granted desired access.,Network Share Event,read,,filesystem,
5145,0x1000000,A network share object was checked to see whether client can be granted desired access.,Network Share Event,acl_modified,,filesystem,
5148,-,The Windows Filtering Platform has detected a DoS attack and entered a defensive mode packets associated with this attack will be discarded.,,,,,
5149,-,The DoS attack has subsided and normal processing is being resumed.,,,,,
5150,-,The Windows Filtering Platform has blocked a packet.,,,,,
5151,-,A more restrictive Windows Filtering Platform filter has blocked a packet.,,,,,
5152,-,The Windows Filtering Platform blocked a packet,Windows Firewall,blocked,,,
5153,-,A more restrictive Windows Filtering Platform filter has blocked a packet,Windows Firewall,blocked,,,
5154,-,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections,Windows Firewall,allowed,,,
5155,-,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections,Windows Firewall,blocked,,,
5156,-,The Windows Filtering Platform has allowed a connection,Windows Firewall,allowed,,,
5157,-,The Windows Filtering Platform has blocked a connection,Windows Firewall,blocked,,,
5158,-,The Windows Filtering Platform has permitted a bind to a local port,Windows Firewall,allowed,,,
5159,-,The Windows Filtering Platform has blocked a bind to a local port,Windows Firewall,blocked,,,
5168,-,Spn check for SMB/SMB2 fails.,,,,,
5376,-,Credential Manager credentials were backed up,User Account Management,,,,
5377,-,Credential Manager credentials were restored from a backup,User Account Management,,,,
5378,-,The requested credentials delegation was disallowed by policy,,,,,
5440,-,The following callout was present when the Windows Filtering Platform Base Filtering Engine started,Filtering Platform Policy Change,,,,
5441,-,The following filter was present when the Windows Filtering Platform Base Filtering Engine started,Filtering Platform Policy Change,,,,
5442,-,The following provider was present when the Windows Filtering Platform Base Filtering Engine started,Filtering Platform Policy Change,,,,
5443,-,The following provider context was present when the Windows Filtering Platform Base Filtering Engine started,Filtering Platform Policy Change,,,,
5444,-,The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started,Filtering Platform Policy Change,,,,
5446,-,A Windows Filtering Platform callout has been changed,Filtering Platform Policy Change,,,,
5447,-,A Windows Filtering Platform filter has been changed,Filtering Platform Policy Change,,,,
5448,-,A Windows Filtering Platform provider has been changed,Filtering Platform Policy Change,,,,
5449,-,A Windows Filtering Platform provider context has been changed,Filtering Platform Policy Change,,,,
5450,-,A Windows Filtering Platform sub-layer has been changed,Filtering Platform Policy Change,,,,
5451,-,An IPsec Quick Mode security association was established,,,,,
5452,-,An IPsec Quick Mode security association ended,,,,,
5453,-,An IPsec negotiation with a remote computer failed because the IKE and AuthIP IPsec Keying Modules (IKEEXT) service is not started,,,,,
5456,-,PAStore Engine applied Active Directory storage IPsec policy on the computer,,,,,
5457,-,PAStore Engine failed to apply Active Directory storage IPsec policy on the computer,,,,,
5458,-,PAStore Engine applied locally cached copy of Active Directory storage IPsec policy on the computer,,,,,
5459,-,PAStore Engine failed to apply locally cached copy of Active Directory storage IPsec policy on the computer,,,,,
5460,-,PAStore Engine applied local registry storage IPsec policy on the computer,,,,,
5461,-,PAStore Engine failed to apply local registry storage IPsec policy on the computer,,,,,
5462,-,PAStore Engine failed to apply some rules of the active IPsec policy on the computer,,,,,
5463,-,PAStore Engine polled for changes to the active IPsec policy and detected no changes,,,,,
5464,-,"PAStore Engine polled for changes to the active IPsec policy, detected changes, and applied them to IPsec Services",,,,,
5465,-,PAStore Engine received a control for forced reloading of IPsec policy and processed the control successfully,,,,,
5466,-,"PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory cannot be reached, and will use the cached copy of the Active Directory IPsec policy instead",,,,,
5467,-,"PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory can be reached, and found no changes to the policy",,,,,
5468,-,"PAStore Engine polled for changes to the Active Directory IPsec policy, determined that Active Directory can be reached, found changes to the policy, and applied those changes",,,,,
5471,-,PAStore Engine loaded local storage IPsec policy on the computer,,,,,
5472,-,PAStore Engine failed to load local storage IPsec policy on the computer,,,,,
5473,-,PAStore Engine loaded directory storage IPsec policy on the computer,,,,,
5474,-,PAStore Engine failed to load directory storage IPsec policy on the computer,,,,,
5477,-,PAStore Engine failed to add quick mode filter,,,,,
5478,-,IPsec Services has started successfully,IPsec Driver Event,,,,
5479,-,IPsec Services has been shut down successfully,IPsec Driver Event,,,,
5480,-,IPsec Services failed to get the complete list of network interfaces on the computer,IPsec Driver Event,,,,
5483,-,IPsec Services failed to initialize RPC server. IPsec Services could not be started,IPsec Driver Event,,,,
5484,-,IPsec Services has experienced a critical failure and has been shut down,IPsec Driver Event,,,,
5485,-,IPsec Services failed to process some IPsec filters on a plug-and-play event for network interfaces,IPsec Driver Event,,,,
5632,-,A request was made to authenticate to a wireless network,,,,,
5633,-,A request was made to authenticate to a wired network,,,,,
5712,-,A Remote Procedure Call (RPC) was attempted,RPC Event,,,,
5888,-,An object in the COM+ Catalog was modified,,,,,
5889,-,An object was deleted from the COM+ Catalog,,,,,
5890,-,An object was added to the COM+ Catalog,,,,,
6144,-,Security policy in the group policy objects has been applied successfully,,,,,
6145,-,One or more errors occured while processing security policy in the group policy objects,,,,,
6272,-,Network Policy Server granted access to a user,,,,,
6273,-,Network Policy Server denied access to a user,,,,,
6274,-,Network Policy Server discarded the request for a user,,,,,
6275,-,Network Policy Server discarded the accounting request for a user,,,,,
6276,-,Network Policy Server quarantined a user,,,,,
6277,-,Network Policy Server granted access to a user but put it on probation because the host did not meet the defined health policy,,,,,
6278,-,Network Policy Server granted full access to a user because the host met the defined health policy,,,,,
6279,-,Network Policy Server locked the user account due to repeated failed authentication attempts,,,,,
6280,-,Network Policy Server unlocked the user account,,,,,
6281,-,Code Integrity determined that the page hashes of an image file are not valid...,,,,,
6400,-,BranchCache: Received an incorrectly formatted response while discovering availability of content.,,,,,
6401,-,BranchCache: Received invalid data from a peer. Data discarded.,,,,,
6402,-,BranchCache: The message to the hosted cache offering it data is incorrectly formatted.,,,,,
6403,-,BranchCache: The hosted cache sent an incorrectly formatted response to the client's message to offer it data.,,,,,
6404,-,BranchCache: Hosted cache could not be authenticated using the provisioned SSL certificate.,,,,,
6405,-,BranchCache: %2 instance(s) of event id %1 occurred.,,,,,
6406,-,%1 registered to Windows Firewall to control filtering for the following:,,,,,
6407,-,1%,,,,,
6408,-,Registered product %1 failed and Windows Firewall is now controlling the filtering for %2.,,,,,
